EgsNom;ContractId;ValuationId;ScenarioId;Key;Actual;Expected;AbsoluteDifference;RelativeDifference;Comment
1100LO0000000000175483--SWP;175483;DEFAULT;IRRBBFloor.ParallelShockUp.EUR_RFR;RiskFreePV;-31170254,7814811;-31170254,7799154;0,0015657;-0,0000000000502305807564401142;
1100LO0000000000175483--SWP;175483;DEFAULT;IRRBBFloor.ParallelShockUp.EUR_RFR;UndRiskFreePV;-30678631,9029971;-30678631,9029969;0,0000002;-0,0000000000000065191955310257;
1100LO0000000000176342--SWP;176342;DEFAULT;IRRBBFloor.ParallelShockUp.EUR_RFR;OptRiskFreePV;-30091146,8219622;-30091146,8255214;-0,0035592;0,000000000118280636529356103;
1100LO0000000000176342--SWP;176342;DEFAULT;IRRBBFloor.ParallelShockUp.EUR_RFR;PV;24289199,8355423;24289199,8319831;-0,0035592;-0,0000000001465342631333550667;
1100LO0000000000176342--SWP;176342;DEFAULT;IRRBBFloor.ParallelShockUp.EUR_RFR;RiskFreePV;24289199,8355423;24289199,8319831;-0,0035592;-0,0000000001465342631333550667;
1100LO0000000000176342--SWP;176342;DEFAULT;IRRBBFloor.ParallelShockUp.EUR_RFR;UndRiskFreePV;54380346,6575045;54380346,6575044;-0,0000001;-0,0000000000000018388996419941;
1100LO0000000000177295--SWP;177295;DEFAULT;IRRBBFloor.ParallelShockUp.EUR_RFR;OptRiskFreePV;-31823644,5311814;-31823644,5366239;-0,0054425;0,0000000001710206382762771583;
1100LO0000000000177295--SWP;177295;DEFAULT;IRRBBFloor.ParallelShockUp.EUR_RFR;PV;30573792,2990636;30573792,2936215;-0,0054421;-0,0000000001779988542725423737;
1100LO0000000000177295--SWP;177295;DEFAULT;IRRBBFloor.ParallelShockUp.EUR_RFR;RiskFreePV;30573792,2990636;30573792,2936215;-0,0054421;-0,0000000001779988542725423737;
1100LO0000000000177295--SWP;177295;DEFAULT;IRRBBFloor.ParallelShockUp.EUR_RFR;UndRiskFreePV;62397436,8302449;62397436,8302453;0,0000004;0,0000000000000064105197315752;
1100LO0000000000177777--SWP;177777;DEFAULT;IRRBBFloor.ParallelShockUp.EUR_RFR;PV;-2570718,81562381;-2570718,81562382;-0,00000001;0,0000000000000038899625813698;
1100LO0000000000177777--SWP;177777;DEFAULT;IRRBBFloor.ParallelShockUp.EUR_RFR;RiskFreePV;-2570718,81562381;-2570718,81562382;-0,00000001;0,0000000000000038899625813698;
1100LO0000000000177777--SWP;177777;DEFAULT;IRRBBFloor.ParallelShockUp.EUR_RFR;UndRiskFreePV;-2570718,81562381;-2570718,81562382;-0,00000001;0,0000000000000038899625813698;
1100LO0000000000178643--SWP;178643;DEFAULT;IRRBBFloor.ParallelShockUp.EUR_RFR;PV;-13608992,0198712;-13608992,0198711;0,0000001;-0,0000000000000073480827862919;
1100LO0000000000178643--SWP;178643;DEFAULT;IRRBBFloor.ParallelShockUp.EUR_RFR;RiskFreePV;-13608992,0198712;-13608992,0198711;0,0000001;-0,0000000000000073480827862919;
1100LO0000000000178643--SWP;178643;DEFAULT;IRRBBFloor.ParallelShockUp.EUR_RFR;UndRiskFreePV;-13608992,0198712;-13608992,0198711;0,0000001;-0,0000000000000073480827862919;
1100LO0000000000180172--SWP;180172;DEFAULT;IRRBBFloor.ParallelShockUp.EUR_RFR;PV;-9337350,08443316;-9337350,08443309;0,00000007;-0,0000000000000074967736420959;
1100LO0000000000180172--SWP;180172;DEFAULT;IRRBBFloor.ParallelShockUp.EUR_RFR;RiskFreePV;-9337350,08443316;-9337350,08443309;0,00000007;-0,0000000000000074967736420959;
1100LO0000000000180172--SWP;180172;DEFAULT;IRRBBFloor.ParallelShockUp.EUR_RFR;UndRiskFreePV;-9337350,08443316;-9337350,08443309;0,00000007;-0,0000000000000074967736420959;
1100LO0000000000181927--SWP;181927;DEFAULT;IRRBBFloor.ParallelShockUp.EUR_RFR;FundingPVBPPV;44564,4610092747;44564,4610092748;0,0000000001;0,0000000000000022439405242484;
1100LO0000000000181927--SWP;181927;DEFAULT;IRRBBFloor.ParallelShockUp.EUR_RFR;OptRiskFreePV;46219,8699823769;46219,8693862228;-0,0005961541;-0,000000012898221051407254919;
1100LO0000000000181927--SWP;181927;DEFAULT;IRRBBFloor.ParallelShockUp.EUR_RFR;PV;-18317002,6180051;-18317002,6186013;-0,0005962;0,000000000032548993546244958;
1100LO0000000000181927--SWP;181927;DEFAULT;IRRBBFloor.ParallelShockUp.EUR_RFR;RiskFreePV;-18317002,6180051;-18317002,6186013;-0,0005962;0,000000000032548993546244958;
1100LO0000000000182987--SWP;182987;DEFAULT;IRRBBFloor.ParallelShockUp.EUR_RFR;OptRiskFreePV;150624,269489372;150624,269533068;0,000043696;0,0000000002900993322532473806;
1100LO0000000000182987--SWP;182987;DEFAULT;IRRBBFloor.ParallelShockUp.EUR_RFR;PV;-25593082,6055598;-25593082,6055161;0,0000437;-0,0000000000017074926328142544;
1100LO0000000000182987--SWP;182987;DEFAULT;IRRBBFloor.ParallelShockUp.EUR_RFR;RiskFreePV;-25593082,6055598;-25593082,6055161;0,0000437;-0,0000000000017074926328142544;
